Gene ID,NC24h_pi_1,NC24h_pi_2,NC24h_pi_3,X24h_pi_1,X24h_pi_2,X24h_pi_3,NC48h_pi_1,NC48h_pi_2,NC48h_pi_3,X48h_pi_1,X48h_pi_2,X48h_pi_3,NC72h_pi_1,NC72h_pi_2,NC72h_pi_3,X72h_pi_1,X72h_pi_2,X72h_pi_3,NC96h_pi_1,NC96h_pi_2,NC96h_pi_3,X96h_pi_1,X96h_pi_2,X96h_pi_3
c191240_g1,8,5,6,33,54,23,8,5,6,55,23,21,8,5,6,272,103,159,8,5,6,221,135,54
c191259_g2,2,0,0,2,6,3,2,0,0,7,3,9,2,0,0,7,1,2,2,0,0,7,2,2
c191272_g2,18,0,0,0,1,9,18,0,0,2,1,26,18,0,0,0,0,17,18,0,0,0,14,0
c191294_g2,0,0,0,5,4,4,0,0,0,3,3,6,0,0,0,13,4,0,0,0,0,5,4,1
c191321_g1,0,0,0,21,26,21,0,0,0,37,47,33,0,0,0,28,23,50,0,0,0,71,38,19
c191341_g1,2,3,2,8,1,6,2,3,2,5,4,6,2,3,2,5,4,3,2,3,2,3,4,16
c19135_g1,4,0,0,2,3,2,4,0,0,4,3,1,4,0,0,3,0,0,4,0,0,0,4,0
c191388_g1,1,1,2,21,43,37,1,1,2,14,9,12,1,1,2,5,13,7,1,1,2,12,7,7
c191406_g1,0,4,2,4,7,16,0,4,2,6,16,9,0,4,2,68,12,33,0,4,2,43,28,67
c191428_g1,17,21,10,2,3,7,17,21,10,3,8,2,17,21,10,3,1,30,17,21,10,28,9,6
c191449_g3,3,3,6,20,20,16,3,3,6,15,15,21,3,3,6,9,9,15,3,3,6,16,11,4
c191473_g1,394,331,337,919,790,1061,394,331,337,888,850,864,394,331,337,2129,1429,395,394,331,337,1876,692,765
c191499_g1,7,8,1,11,3,6,7,8,1,7,8,10,7,8,1,2,6,1,7,8,1,2,3,2
c191521_g4,14,8,8,32,31,48,14,8,8,58,73,66,14,8,8,95,49,63,14,8,8,141,94,49
c191547_g1,0,0,0,5,4,3,0,0,0,0,8,7,0,0,0,1,3,7,0,0,0,17,5,4
c191568_g1,20,21,4,16,10,11,20,21,4,39,42,27,20,21,4,46,88,12,20,21,4,25,28,13
c191593_g1,17,21,6,17,24,30,17,21,6,35,42,28,17,21,6,5,7,17,17,21,6,20,12,18
c191611_g1,0,0,0,11,10,6,0,0,0,14,7,8,0,0,0,7,7,8,0,0,0,13,4,3
c191632_g3,268,230,237,231,307,256,268,230,237,173,221,162,268,230,237,363,231,169,268,230,237,289,109,104
c191651_g5,392,181,216,216,131,183,392,181,216,157,189,166,392,181,216,600,482,81,392,181,216,369,111,60
c191673_g1,32,18,34,143,383,173,32,18,34,58,90,75,32,18,34,38,25,67,32,18,34,36,30,19
c191689_g3,0,0,0,5,10,9,0,0,0,4,16,11,0,0,0,2,3,9,0,0,0,8,4,6
c191717_g1,95,40,20,19,32,9,95,40,20,7,0,0,95,40,20,6,2,7,95,40,20,6,6,3
c191737_g2,11,3,10,8,5,7,11,3,10,5,8,11,11,3,10,1,4,9,11,3,10,4,3,1
c191762_g1,33,34,68,26,25,34,33,34,68,17,23,25,33,34,68,15,10,7,33,34,68,25,7,10
c191786_g1,16976,11408,15836,25243,16681,20837,16976,11408,15836,14620,13681,14666,16976,11408,15836,37355,13794,10399,16976,11408,15836,24166,10355,7054
c191811_g1,5,1,5,12,5,23,5,1,5,15,13,13,5,1,5,6,20,24,5,1,5,8,7,19
c191838_g1,0,0,0,26,38,6,0,0,0,6,13,11,0,0,0,0,6,0,0,0,0,13,21,3
c191857_g1,13,8,13,65,51,57,13,8,13,37,47,45,13,8,13,74,50,37,13,8,13,81,43,34
c191881_g1,2,0,0,37,25,41,2,0,0,46,80,63,2,0,0,24,18,54,2,0,0,83,41,33
c191898_g2,24,24,39,28,7,9,24,24,39,7,17,8,24,24,39,9,8,1,24,24,39,15,4,23
c191914_g1,4,6,6,64,36,87,4,6,6,103,107,98,4,6,6,51,49,24,4,6,6,150,59,10
c191940_g1,2,0,6,29,35,28,2,0,6,22,48,43,2,0,6,20,13,7,2,0,6,26,12,2
c191962_g3,2,0,0,6,1,4,2,0,0,4,5,5,2,0,0,5,2,0,2,0,0,7,3,5
c191985_g1,2,0,1,24,22,21,2,0,1,15,22,27,2,0,1,29,20,22,2,0,1,52,9,12
c192004_g7,0,0,0,76,140,106,0,0,0,77,100,52,0,0,0,49,36,86,0,0,0,156,37,47
c192028_g2,2,5,3,29,57,23,2,5,3,11,33,26,2,5,3,27,9,22,2,5,3,29,10,23
c192049_g1,4,3,3,8,10,8,4,3,3,8,17,8,4,3,3,13,4,13,4,3,3,6,1,2
c192065_g2,0,0,0,11,19,18,0,0,0,23,26,23,0,0,0,13,9,40,0,0,0,28,18,16
c192085_g1,0,0,6,11,2,5,0,0,6,6,10,14,0,0,6,7,4,33,0,0,6,14,8,6
c192104_g2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
c192124_g1,163,138,232,127,76,112,163,138,232,19,45,37,163,138,232,34,18,35,163,138,232,30,21,9
c192141_g3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1
c192161_g5,187,111,107,112,130,124,187,111,107,41,80,50,187,111,107,42,54,27,187,111,107,46,22,17
c192181_g1,22,40,45,8,14,15,22,40,45,4,13,4,22,40,45,5,4,11,22,40,45,1,4,5
c192199_g1,95,73,62,51,36,43,95,73,62,44,49,51,95,73,62,75,53,94,95,73,62,205,84,33
c192223_g1,14,20,11,43,35,24,14,20,11,30,44,34,14,20,11,27,20,20,14,20,11,58,16,10
c192245_g3,18,16,25,55,65,54,18,16,25,38,47,48,18,16,25,40,30,23,18,16,25,80,21,27
c192270_g1,0,0,0,11,12,11,0,0,0,6,17,4,0,0,0,17,15,34,0,0,0,43,27,9
c192291_g1,0,2,0,12,29,51,0,2,0,27,32,35,0,2,0,36,25,73,0,2,0,156,50,22
c192310_g1,0,0,0,3,9,4,0,0,0,5,14,5,0,0,0,51,3,16,0,0,0,44,3,4
c192331_g1,92,81,59,100,96,93,92,81,59,170,181,198,92,81,59,149,145,47,92,81,59,128,39,34
c192356_g1,0,0,0,0,0,17,0,0,0,9,6,7,0,0,0,1,18,81,0,0,0,0,88,12
c192376_g5,2,2,3,18,9,8,2,2,3,8,12,11,2,2,3,2,6,2,2,2,3,4,3,2
c192393_g1,0,0,0,6,5,4,0,0,0,5,17,13,0,0,0,2,2,11,0,0,0,25,5,2
c192416_g1,0,1,0,31,22,41,0,1,0,84,64,92,0,1,0,69,38,100,0,1,0,186,80,53
c192438_g4,3,1,1,2,13,12,3,1,1,14,15,16,3,1,1,7,3,7,3,1,1,16,7,4
c192468_g3,11,4,7,24,25,33,11,4,7,28,33,26,11,4,7,38,15,38,11,4,7,78,43,18
c192496_g1,2,3,8,67,59,75,2,3,8,48,69,58,2,3,8,53,36,31,2,3,8,34,25,21
c192518_g1,0,0,0,2,0,1,0,0,0,3,3,3,0,0,0,12,4,3,0,0,0,4,1,1
c192538_g5,0,0,0,20,13,24,0,0,0,13,27,24,0,0,0,22,12,12,0,0,0,36,7,4
c192562_g1,1,4,5,55,57,92,1,4,5,75,75,110,1,4,5,161,56,392,1,4,5,574,193,59
c192582_g1,75,42,37,93,64,65,75,42,37,69,67,72,75,42,37,181,162,49,75,42,37,168,82,49
c192604_g1,16,10,27,83,97,119,16,10,27,67,64,96,16,10,27,96,54,60,16,10,27,108,43,49
c192621_g2,1,0,0,8,1,5,1,0,0,8,13,10,1,0,0,7,1,11,1,0,0,13,6,2
c192642_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1
c192666_g1,22,9,18,323,327,433,22,9,18,219,231,238,22,9,18,308,185,165,22,9,18,241,114,156
c192685_g13,98,89,109,1,0,0,98,89,109,0,0,0,98,89,109,47,0,0,98,89,109,35,0,0
c192686_g3,195,177,122,39,10,25,195,177,122,27,122,9,195,177,122,0,8,10,195,177,122,9,2,1
c192709_g2,2,0,1,27,16,20,2,0,1,16,29,20,2,0,1,2,12,26,2,0,1,33,19,15
c192726_g2,0,1,0,12,11,10,0,1,0,20,39,31,0,1,0,9,7,168,0,1,0,30,21,42
c192745_g1,0,0,0,11,7,4,0,0,0,7,8,8,0,0,0,5,7,18,0,0,0,20,9,8
c192766_g1,0,0,0,20,16,12,0,0,0,25,18,15,0,0,0,26,13,53,0,0,0,54,25,34
c192790_g1,2,2,0,103,61,98,2,2,0,171,173,139,2,2,0,95,116,108,2,2,0,165,93,24
c192810_g1,2,0,0,28,55,38,2,0,0,23,38,34,2,0,0,23,32,21,2,0,0,49,22,10
c192831_g1,0,1,0,13,12,12,0,1,0,18,28,31,0,1,0,14,15,18,0,1,0,39,9,11
c192851_g4,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,9,2,11,0,0,0,4,4,9
c192865_g5,120,136,134,424,30,73,120,136,134,22,74,55,120,136,134,43,17,17,120,136,134,110,13,219
c192883_g6,0,1,0,7,7,12,0,1,0,12,25,14,0,1,0,10,18,7,0,1,0,18,13,1
c192905_g1,0,0,0,12,37,21,0,0,0,10,16,14,0,0,0,10,9,6,0,0,0,18,2,4
c192926_g4,0,0,2,5,1,6,0,0,2,9,10,11,0,0,2,6,6,2,0,0,2,26,12,0
c192944_g3,0,1,0,10,11,7,0,1,0,17,13,10,0,1,0,16,12,6,0,1,0,31,14,5
c192958_g6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5,0,1,0,0,0,0,0,0
c192978_g2,26,4,56,87,66,81,26,4,56,97,45,65,26,4,56,159,59,130,26,4,56,547,213,21
c193001_g4,0,0,0,2,4,2,0,0,0,5,10,13,0,0,0,6,0,7,0,0,0,17,4,4
c193019_g2,3,2,3,19,9,15,3,2,3,16,23,11,3,2,3,12,11,15,3,2,3,27,12,10
c193038_g1,1,5,0,9,15,15,1,5,0,15,14,13,1,5,0,8,10,29,1,5,0,22,13,58
c193058_g1,100,128,88,427,286,455,100,128,88,710,740,733,100,128,88,492,477,635,100,128,88,1055,525,289
c193080_g1,0,0,1,22,28,20,0,0,1,10,17,11,0,0,1,18,10,4,0,0,1,41,7,9
c193097_g1,222,239,318,219,227,252,222,239,318,176,275,220,222,239,318,377,291,133,222,239,318,427,160,226
c193114_g1,1,0,0,33,19,53,1,0,0,85,51,74,1,0,0,35,28,51,1,0,0,97,88,13
c193136_g1,0,0,1,17,19,25,0,0,1,34,55,39,0,0,1,20,12,29,0,0,1,43,18,12
c193154_g1,2,6,3,30,18,31,2,6,3,17,18,32,2,6,3,9,43,7,2,6,3,13,4,0
c193175_g4,0,0,0,17,2,3,0,0,0,4,5,16,0,0,0,1,4,0,0,0,0,12,3,1
c193197_g2,1,0,1,8,2,1,1,0,1,6,9,10,1,0,1,2,4,4,1,0,1,15,8,0
c193216_g1,298,229,256,371,422,435,298,229,256,369,443,441,298,229,256,791,409,168,298,229,256,622,195,93
c193242_g1,0,1,1,15,18,18,0,1,1,75,109,82,0,1,1,7,27,20,0,1,1,33,14,13
c193267_g3,0,0,0,7,7,3,0,0,0,4,7,6,0,0,0,8,2,5,0,0,0,6,7,0
c193288_g1,5,6,0,7,6,9,5,6,0,11,7,6,5,6,0,2,6,13,5,6,0,32,11,2
c193309_g1,128,123,91,159,154,171,128,123,91,151,206,171,128,123,91,138,182,132,128,123,91,294,134,200
c193325_g2,183,149,129,206,139,184,183,149,129,171,303,302,183,149,129,283,214,224,183,149,129,671,239,124
c193344_g2,3,3,1,11,17,17,3,3,1,28,41,31,3,3,1,54,29,53,3,3,1,178,54,45
c193367_g1,221,265,183,191,247,292,221,265,183,112,206,148,221,265,183,75,87,52,221,265,183,175,74,44
c193386_g2,15,5,5,16,18,28,15,5,5,23,37,27,15,5,5,18,17,35,15,5,5,31,17,9
c193401_g1,9,3,3,16,11,23,9,3,3,19,21,27,9,3,3,31,20,27,9,3,3,50,27,13
c193418_g1,0,0,0,7,6,1,0,0,0,0,2,3,0,0,0,3,1,0,0,0,0,0,1,2
c193436_g1,1,1,12,6,15,7,1,1,12,6,11,8,1,1,12,3,3,17,1,1,12,24,5,3
c193456_g2,0,0,0,5,7,3,0,0,0,8,8,9,0,0,0,6,10,6,0,0,0,8,0,4
c193471_g5,0,0,0,11,10,15,0,0,0,9,13,14,0,0,0,14,2,4,0,0,0,6,2,3
c193488_g1,0,0,0,15,12,28,0,0,0,14,28,39,0,0,0,12,15,12,0,0,0,31,12,3
c193506_g3,0,0,0,7,6,7,0,0,0,3,5,12,0,0,0,7,8,2,0,0,0,8,2,2
c19351_g1,0,0,0,3,0,3,0,0,0,1,4,6,0,0,0,1,0,3,0,0,0,14,0,1
c193536_g2,2,0,1,4,3,5,2,0,1,0,4,1,2,0,1,0,1,2,2,0,1,1,0,6
c193561_g1,9,1,0,19,24,28,9,1,0,30,49,29,9,1,0,6,16,49,9,1,0,60,34,23
c193580_g2,410,347,409,1308,961,1410,410,347,409,1110,1378,1376,410,347,409,1841,1063,715,410,347,409,2002,840,339
c193601_g1,0,2,2,11,25,15,0,2,2,10,14,11,0,2,2,5,4,5,0,2,2,10,4,6
c193624_g1,1,11,2,54,28,41,1,11,2,40,41,39,1,11,2,87,34,52,1,11,2,91,33,102
c193649_g2,1,0,0,12,23,7,1,0,0,7,19,16,1,0,0,17,2,24,1,0,0,53,27,36
c193664_g8,393,320,389,802,430,758,393,320,389,740,766,775,393,320,389,2132,772,469,393,320,389,2783,614,276
c193682_g1,1,0,0,3,6,2,1,0,0,9,8,7,1,0,0,0,0,8,1,0,0,13,13,3
c193701_g2,0,0,1,9,7,6,0,0,1,4,6,11,0,0,1,8,6,15,0,0,1,6,7,3
c193717_g1,0,1,0,18,21,18,0,1,0,8,20,24,0,1,0,16,14,36,0,1,0,58,14,11
c193733_g9,153,214,110,20,11,11,153,214,110,10,25,17,153,214,110,27,4,12,153,214,110,22,5,5
c193756_g2,0,0,0,3,5,5,0,0,0,5,8,4,0,0,0,4,3,2,0,0,0,14,4,2
c193772_g4,3,4,0,20,17,27,3,4,0,29,35,34,3,4,0,20,13,23,3,4,0,64,29,11
c193785_g1,21,22,11,139,114,170,21,22,11,76,124,133,21,22,11,183,130,96,21,22,11,389,102,23
c193799_g3,9,8,7,13,25,19,9,8,7,26,29,25,9,8,7,14,15,13,9,8,7,47,21,6
c193814_g1,0,0,0,11,15,11,0,0,0,18,27,18,0,0,0,18,13,34,0,0,0,41,20,10
c193831_g1,0,0,0,13,10,12,0,0,0,9,11,7,0,0,0,6,4,5,0,0,0,16,6,6
c193854_g1,1,0,0,11,20,20,1,0,0,43,22,42,1,0,0,27,19,54,1,0,0,85,34,8
c193877_g3,0,0,1,10,16,11,0,0,1,13,22,22,0,0,1,8,9,5,0,0,1,17,8,8
c193895_g1,1,0,0,16,14,20,1,0,0,25,38,26,1,0,0,4,15,16,1,0,0,57,23,9
c193916_g5,17,10,22,14,15,15,17,10,22,22,47,29,17,10,22,25,12,25,17,10,22,53,17,14
c193936_g7,0,0,0,14,33,14,0,0,0,11,20,29,0,0,0,31,16,25,0,0,0,50,12,8
c193954_g4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
c193982_g1,0,0,0,24,26,38,0,0,0,46,52,74,0,0,0,29,33,18,0,0,0,65,46,11
c194004_g4,424,289,423,670,627,748,424,289,423,622,687,652,424,289,423,1377,711,255,424,289,423,919,311,251
c194020_g2,2,4,6,57,50,52,2,4,6,68,86,66,2,4,6,94,31,29,2,4,6,133,28,21
c194037_g1,0,0,0,18,8,18,0,0,0,41,50,37,0,0,0,10,3,4,0,0,0,33,44,2
c194063_g1,0,0,0,23,21,64,0,0,0,46,55,42,0,0,0,44,24,75,0,0,0,97,45,15
c194083_g1,1,0,0,5,6,8,1,0,0,7,7,2,1,0,0,7,6,7,1,0,0,17,2,4
c194100_g4,0,0,0,0,0,0,0,0,0,3,5,1,0,0,0,2,0,1,0,0,0,2,2,0
c19411_g1,0,0,0,2,0,2,0,0,0,3,3,5,0,0,0,0,0,1,0,0,0,1,2,0
c194137_g1,36,35,16,76,30,28,36,35,16,51,91,67,36,35,16,152,30,26,36,35,16,237,73,3
c194156_g1,0,0,0,17,37,20,0,0,0,27,39,35,0,0,0,18,14,23,0,0,0,50,24,16
c194173_g11,0,0,0,34,49,30,0,0,0,59,68,62,0,0,0,33,21,97,0,0,0,108,69,76
c194193_g3,3,1,4,7,11,11,3,1,4,6,14,22,3,1,4,27,9,22,3,1,4,62,32,5
c194206_g1,0,0,0,38,27,30,0,0,0,14,13,13,0,0,0,15,9,28,0,0,0,197,56,27
c194226_g1,9,4,4,3,1,3,9,4,4,1,5,4,9,4,4,0,3,6,9,4,4,8,3,2
c194247_g1,0,2,0,17,25,33,0,2,0,24,28,26,0,2,0,34,20,32,0,2,0,64,18,11
c194268_g1,0,0,1,7,5,6,0,0,1,9,9,7,0,0,1,12,1,26,0,0,1,35,6,13
c194284_g1,13,13,7,9,1,10,13,13,7,0,0,4,13,13,7,3,3,0,13,13,7,9,1,1
c194310_g1,0,0,0,16,7,17,0,0,0,41,42,48,0,0,0,74,29,45,0,0,0,176,76,8
c194332_g3,0,0,0,2,2,5,0,0,0,1,4,1,0,0,0,1,1,1,0,0,0,2,1,3
c194352_g1,2220,1612,2332,3062,2522,3373,2220,1612,2332,2528,2621,2938,2220,1612,2332,8375,3452,2741,2220,1612,2332,7587,2271,1109
c194369_g1,0,0,0,59,67,70,0,0,0,35,65,47,0,0,0,37,36,52,0,0,0,62,34,27
c194385_g1,0,0,0,23,14,13,0,0,0,22,20,38,0,0,0,2,6,14,0,0,0,23,14,5
c194400_g4,0,0,0,4,2,1,0,0,0,4,2,3,0,0,0,5,7,3,0,0,0,18,18,79
c19441_g1,1,0,1,1,1,1,1,0,1,0,2,3,1,0,1,0,2,6,1,0,1,2,1,4
c194439_g1,166,124,148,155,105,174,166,124,148,289,279,327,166,124,148,546,318,156,166,124,148,1018,376,92
c194463_g2,0,2,3,9,0,3,0,2,3,0,1,0,0,2,3,1,1,2,0,2,3,0,0,5
c194484_g2,0,3,1,3,5,3,0,3,1,0,0,0,0,3,1,14,0,4,0,3,1,30,10,10
c194507_g1,0,0,0,1,1,6,0,0,0,14,4,10,0,0,0,8,10,20,0,0,0,21,12,7
c194523_g1,1,8,1,32,120,60,1,8,1,12,24,18,1,8,1,2,8,19,1,8,1,12,6,2
c194544_g4,0,0,1,49,33,42,0,0,1,48,69,77,0,0,1,78,50,82,0,0,1,189,75,32
c194563_g3,9,5,8,33,28,31,9,5,8,28,25,38,9,5,8,49,20,16,9,5,8,68,17,5
c194583_g2,5,3,5,0,0,0,5,3,5,0,0,0,5,3,5,1,0,0,5,3,5,1,3,0
c194603_g2,1,0,0,40,31,60,1,0,0,50,59,84,1,0,0,85,68,141,1,0,0,206,101,50
c194623_g2,1,3,2,21,20,34,1,3,2,27,26,23,1,3,2,31,7,73,1,3,2,83,34,41
c194643_g1,0,0,0,3,5,7,0,0,0,3,5,5,0,0,0,5,4,29,0,0,0,4,8,5
c194663_g3,0,0,0,5,3,5,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,2,0
c194685_g3,0,0,0,13,10,3,0,0,0,18,33,24,0,0,0,6,4,24,0,0,0,31,9,4
c194703_g2,0,0,0,2,6,4,0,0,0,7,8,10,0,0,0,6,9,25,0,0,0,49,26,3
c194720_g2,0,0,0,0,1,2,0,0,0,2,1,4,0,0,0,0,0,1,0,0,0,2,1,0
c194746_g1,146,92,90,103,109,214,146,92,90,222,164,311,146,92,90,710,696,193,146,92,90,981,393,124
c194766_g4,0,0,0,19,40,28,0,0,0,15,13,11,0,0,0,8,24,11,0,0,0,17,9,6
c194790_g1,0,0,1,46,20,41,0,0,1,19,55,42,0,0,1,15,13,46,0,0,1,114,17,30
c194808_g1,2,0,0,10,14,16,2,0,0,28,18,32,2,0,0,44,38,18,2,0,0,133,66,3
c194819_g2,0,0,0,5,3,3,0,0,0,3,11,5,0,0,0,1,4,5,0,0,0,7,1,2
c194835_g4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
c194855_g1,4,6,4,20,9,9,4,6,4,19,24,28,4,6,4,4,6,50,4,6,4,33,23,19
c194875_g1,25,0,1,9,4,17,25,0,1,7,14,15,25,0,1,11,9,10,25,0,1,27,19,685
c194893_g1,0,0,0,21,12,14,0,0,0,20,43,42,0,0,0,7,3,11,0,0,0,18,18,8
c194910_g1,0,0,0,68,33,56,0,0,0,87,143,134,0,0,0,44,32,73,0,0,0,156,95,118
c194933_g3,1,1,0,4,5,3,1,1,0,10,10,7,1,1,0,1,3,17,1,1,0,1,6,5
c194953_g4,1,2,1,3,5,4,1,2,1,11,9,20,1,2,1,6,2,12,1,2,1,9,8,49
c194974_g1,584,400,357,283,240,322,584,400,357,359,380,358,584,400,357,596,439,220,584,400,357,983,255,79
c194995_g3,3,3,3,12,11,10,3,3,3,11,20,19,3,3,3,9,15,11,3,3,3,16,11,12
c195014_g1,3,0,3,13,13,17,3,0,3,10,15,13,3,0,3,6,11,9,3,0,3,16,8,1
c195030_g2,4,1,1,12,8,24,4,1,1,10,40,25,4,1,1,16,8,8,4,1,1,21,8,5
c195052_g1,1,1,0,20,20,32,1,1,0,23,40,29,1,1,0,22,15,12,1,1,0,49,21,17
c195073_g1,1,2,1,42,21,31,1,2,1,27,38,43,1,2,1,46,55,29,1,2,1,79,32,307
c195094_g1,3,1,5,16,29,26,3,1,5,42,49,66,3,1,5,73,66,66,3,1,5,184,114,23
c19510_g1,0,0,0,10,7,7,0,0,0,1,8,9,0,0,0,2,5,2,0,0,0,5,2,1
c195128_g6,133,109,116,424,305,478,133,109,116,697,956,753,133,109,116,868,309,665,133,109,116,1463,625,260
c195147_g4,358,338,274,239,235,291,358,338,274,369,581,460,358,338,274,493,328,118,358,338,274,524,268,76
c195163_g2,0,0,0,8,8,5,0,0,0,6,10,1,0,0,0,4,6,1,0,0,0,11,4,6
c195183_g2,419,17850,406,5085,729,450,419,17850,406,45,64,40,419,17850,406,2075,85,130,419,17850,406,128,78,291
c195201_g5,42,24,70,155,248,234,42,24,70,169,236,190,42,24,70,189,107,153,42,24,70,254,109,65
c195218_g8,1,1,0,4,5,5,1,1,0,8,10,8,1,1,0,1,3,22,1,1,0,12,5,1
c195236_g2,0,0,0,4,3,7,0,0,0,5,12,11,0,0,0,8,2,4,0,0,0,14,4,0
c195255_g3,0,0,2,9,12,21,0,0,2,16,19,13,0,0,2,9,5,8,0,0,2,24,6,9
c195268_g6,0,0,0,4,4,6,0,0,0,7,15,10,0,0,0,2,3,25,0,0,0,20,10,6
c195285_g1,1,2,2,8,7,10,1,2,2,10,12,11,1,2,2,13,6,8,1,2,2,22,6,6
c195299_g6,1,0,0,7,4,1,1,0,0,6,11,11,1,0,0,1,6,19,1,0,0,7,5,3
c195321_g4,56,34,28,55,43,50,56,34,28,28,35,34,56,34,28,58,58,38,56,34,28,97,22,57
c195342_g4,0,1,0,55,51,54,0,1,0,48,53,48,0,1,0,51,32,55,0,1,0,115,56,26
c195362_g2,41,60,38,81,42,73,41,60,38,60,86,100,41,60,38,61,71,18,41,60,38,91,37,17
c195384_g1,0,0,0,31,25,30,0,0,0,44,73,78,0,0,0,20,25,17,0,0,0,48,21,29
c195401_g7,2,1,3,5,9,3,2,1,3,13,16,20,2,1,3,6,4,11,2,1,3,21,12,1
c195419_g1,0,0,0,14,18,27,0,0,0,22,36,19,0,0,0,16,18,28,0,0,0,82,33,14
c195443_g1,3,1,4,33,16,25,3,1,4,16,33,27,3,1,4,38,25,61,3,1,4,82,35,23
c195456_g4,0,0,0,4,7,3,0,0,0,2,6,2,0,0,0,8,1,1,0,0,0,1,2,0
c195476_g1,119,91,87,230,292,327,119,91,87,410,425,453,119,91,87,331,258,412,119,91,87,447,247,191
c195497_g1,1,0,0,69,54,71,1,0,0,88,100,98,1,0,0,94,174,105,1,0,0,228,90,34
c195511_g1,283,202,249,570,474,561,283,202,249,538,607,620,283,202,249,945,570,202,283,202,249,619,254,219
c195526_g4,0,0,1,14,14,17,0,0,1,8,11,13,0,0,1,7,9,13,0,0,1,14,2,11
c195541_g3,8,6,7,36,15,42,8,6,7,20,38,30,8,6,7,40,18,20,8,6,7,79,25,19
c195558_g4,0,0,1,20,23,39,0,0,1,25,28,34,0,0,1,25,9,6,0,0,1,141,29,6
c195572_g6,0,3,4,17,11,16,0,3,4,20,34,26,0,3,4,19,11,42,0,3,4,29,26,14
c195594_g1,3,2,0,5,11,3,3,2,0,9,6,8,3,2,0,64,13,151,3,2,0,159,69,13
c195610_g3,30,43,43,136,248,192,30,43,43,169,242,129,30,43,43,236,166,239,30,43,43,361,163,100
c195628_g1,370,213,229,427,325,471,370,213,229,391,347,361,370,213,229,543,439,217,370,213,229,710,268,153
c195645_g1,23,21,20,55,31,59,23,21,20,90,129,131,23,21,20,47,37,258,23,21,20,221,111,53
c195669_g1,1,0,0,36,29,25,1,0,0,34,65,46,1,0,0,13,19,58,1,0,0,47,23,10
c195689_g2,1,2,0,46,37,54,1,2,0,41,36,52,1,2,0,85,41,50,1,2,0,122,39,25
c195709_g1,4,4,1,18,18,12,4,4,1,24,23,26,4,4,1,54,25,59,4,4,1,168,50,26
c195724_g4,1,0,0,17,41,30,1,0,0,19,13,24,1,0,0,78,35,33,1,0,0,80,25,23
c195741_g1,424,400,398,803,1104,789,424,400,398,580,848,643,424,400,398,406,370,403,424,400,398,778,304,262
c195761_g2,2,0,0,15,26,33,2,0,0,40,92,74,2,0,0,17,15,14,2,0,0,52,20,24
c195781_g4,0,0,0,1,2,1,0,0,0,6,3,3,0,0,0,1,0,0,0,0,0,0,1,0
c195797_g1,42,22,36,36,35,26,42,22,36,40,75,48,42,22,36,40,18,26,42,22,36,65,28,17
c195817_g1,6,4,0,10,1,54,6,4,0,5,12,7,6,4,0,3,0,22,6,4,0,12,30,1368
c195836_g4,0,0,0,5,2,7,0,0,0,4,4,3,0,0,0,5,1,10,0,0,0,6,2,2
c195858_g1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,6,1,5,1,0,0,18,3,0
c195871_g7,183,145,150,200,100,171,183,145,150,126,212,167,183,145,150,112,69,80,183,145,150,263,80,46
c195889_g1,2,1,0,14,7,20,2,1,0,18,16,25,2,1,0,12,16,26,2,1,0,82,20,2
c195908_g1,2,0,0,26,19,15,2,0,0,34,36,37,2,0,0,37,18,32,2,0,0,82,34,25
c195927_g1,1,0,0,11,15,14,1,0,0,31,41,25,1,0,0,14,12,28,1,0,0,51,16,29
c195949_g7,47,37,48,54,77,61,47,37,48,34,26,33,47,37,48,20,28,41,47,37,48,59,21,4
c195969_g1,3,0,2,21,13,20,3,0,2,22,31,16,3,0,2,15,15,35,3,0,2,43,16,31
c195990_g3,0,0,0,13,14,24,0,0,0,16,32,42,0,0,0,28,15,28,0,0,0,54,37,21
c196009_g2,0,0,0,2,4,2,0,0,0,0,1,6,0,0,0,3,1,2,0,0,0,14,4,4
c196025_g1,45,60,54,22,14,20,45,60,54,27,28,25,45,60,54,49,24,37,45,60,54,56,34,23
c196039_g14,44,42,48,0,0,0,44,42,48,0,0,0,44,42,48,16,0,0,44,42,48,15,0,0
c196049_g3,0,0,0,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
c196067_g4,4,0,0,18,22,22,4,0,0,27,61,30,4,0,0,8,5,43,4,0,0,88,23,30
c196085_g1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
