Gene ID,NC24h_pi_1,NC24h_pi_2,NC24h_pi_3,X24h_pi_1,X24h_pi_2,X24h_pi_3,NC48h_pi_1,NC48h_pi_2,NC48h_pi_3,X48h_pi_1,X48h_pi_2,X48h_pi_3,NC72h_pi_1,NC72h_pi_2,NC72h_pi_3,X72h_pi_1,X72h_pi_2,X72h_pi_3,NC96h_pi_1,NC96h_pi_2,NC96h_pi_3,X96h_pi_1,X96h_pi_2,X96h_pi_3
c149023_g1,2,5,2,11,0,5,2,5,2,1,2,2,2,5,2,0,2,1,2,5,2,1,1,2
c149079_g1,0,0,1,8,11,11,0,0,1,4,7,7,0,0,1,11,5,4,0,0,1,13,2,6
c149130_g2,0,0,0,1,1,1,0,0,0,6,3,6,0,0,0,0,0,9,0,0,0,3,1,2
c149194_g1,0,0,3,0,3,4,0,0,3,2,0,4,0,0,3,0,0,0,0,0,3,0,0,1
c149263_g1,0,0,0,1,2,3,0,0,0,4,5,8,0,0,0,3,1,14,0,0,0,14,6,9
c149315_g2,1,7,2,4,6,2,1,7,2,2,3,1,1,7,2,0,1,2,1,7,2,0,1,1
c149371_g1,0,1,0,6,9,9,0,1,0,8,18,11,0,1,0,3,3,15,0,1,0,7,5,6
c149424_g1,59,40,45,68,53,53,59,40,45,47,52,65,59,40,45,54,35,32,59,40,45,50,27,27
c149488_g1,0,0,1,3,4,4,0,0,1,3,6,7,0,0,1,6,3,0,0,0,1,12,2,4
c149561_g1,3,3,3,23,16,19,3,3,3,43,52,32,3,3,3,48,41,26,3,3,3,82,39,16
c149620_g1,0,0,0,1,1,2,0,0,0,1,5,2,0,0,0,2,0,6,0,0,0,6,6,4
c149690_g1,0,0,0,1,4,2,0,0,0,3,11,6,0,0,0,3,4,2,0,0,0,10,2,3
c149747_g2,0,0,0,7,4,3,0,0,0,13,19,17,0,0,0,5,4,7,0,0,0,17,9,8
c149796_g1,0,1,1,6,3,5,0,1,1,7,13,8,0,1,1,7,5,2,0,1,1,6,1,6
c149860_g1,9,1,1,10,2,13,9,1,1,1,2,0,9,1,1,15,1,5,9,1,1,2,0,1
c149929_g1,0,0,0,2,7,4,0,0,0,4,10,1,0,0,0,3,1,7,0,0,0,2,9,3
c149991_g1,0,0,0,1,3,0,0,0,0,2,5,1,0,0,0,11,3,40,0,0,0,17,18,9
c150051_g3,1,2,1,9,2,6,1,2,1,6,11,7,1,2,1,5,2,9,1,2,1,39,13,9
c150097_g1,0,0,0,11,7,4,0,0,0,5,12,2,0,0,0,5,6,7,0,0,0,11,2,7
c150165_g1,0,0,0,3,3,6,0,0,0,1,9,10,0,0,0,5,4,3,0,0,0,11,3,5
c150221_g1,0,0,0,2,6,1,0,0,0,2,2,7,0,0,0,3,6,3,0,0,0,4,2,2
c150289_g2,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
c150355_g1,0,0,1,10,9,6,0,0,1,12,12,11,0,0,1,6,9,5,0,0,1,19,8,8
c150408_g1,0,0,0,3,3,3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,12,4,1
c150469_g1,1,0,0,12,4,5,1,0,0,11,16,14,1,0,0,3,1,11,1,0,0,13,8,11
c150545_g1,0,0,0,14,14,10,0,0,0,6,15,12,0,0,0,5,8,6,0,0,0,28,8,6
c150621_g1,0,0,0,4,5,3,0,0,0,1,4,5,0,0,0,5,2,1,0,0,0,10,0,2
c150675_g1,0,0,0,7,7,6,0,0,0,16,29,28,0,0,0,8,6,54,0,0,0,36,25,19
c150738_g1,0,0,0,1,2,1,0,0,0,3,5,4,0,0,0,0,2,8,0,0,0,15,8,4
c150802_g1,1,4,0,13,11,2,1,4,0,5,13,12,1,4,0,1,7,46,1,4,0,13,9,9
c150862_g1,0,0,0,1,2,0,0,0,0,0,1,4,0,0,0,0,0,8,0,0,0,1,1,0
c150928_g1,0,0,0,5,4,4,0,0,0,7,2,9,0,0,0,3,2,1,0,0,0,11,4,1
c150980_g1,0,0,0,2,2,4,0,0,0,5,10,11,0,0,0,4,1,9,0,0,0,5,3,6
c151046_g1,0,0,0,1,5,2,0,0,0,2,3,9,0,0,0,6,1,12,0,0,0,1,8,1
c151109_g1,6,4,3,27,25,21,6,4,3,15,11,24,6,4,3,42,19,18,6,4,3,39,11,24
c151175_g1,0,0,1,7,13,24,0,0,1,11,7,11,0,0,1,43,29,46,0,0,1,174,60,12
c151237_g1,59,60,82,137,107,152,59,60,82,59,63,90,59,60,82,108,115,74,59,60,82,178,103,47
c151305_g1,1,0,0,2,1,2,1,0,0,3,8,2,1,0,0,1,4,10,1,0,0,9,4,2
c151378_g1,0,0,0,6,10,10,0,0,0,17,19,10,0,0,0,2,3,3,0,0,0,14,6,8
c151443_g1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,0,0,0,7,5,1
c151494_g1,6,5,7,7,3,10,6,5,7,3,9,15,6,5,7,12,7,5,6,5,7,6,4,1
c151554_g1,0,0,0,7,8,3,0,0,0,10,19,12,0,0,0,1,5,21,0,0,0,20,12,17
c151637_g1,5,0,2,2,4,4,5,0,2,1,4,3,5,0,2,0,1,0,5,0,2,16,2,1
c15169_g1,0,0,0,3,1,1,0,0,0,5,4,0,0,0,0,2,4,0,0,0,0,6,0,1
c151769_g1,0,0,0,6,2,1,0,0,0,3,2,4,0,0,0,1,5,2,0,0,0,0,0,0
c151835_g1,0,0,0,3,0,0,0,0,0,3,5,3,0,0,0,10,5,19,0,0,0,15,2,6
c15189_g1,0,0,0,2,2,1,0,0,0,5,4,1,0,0,0,7,3,5,0,0,0,14,5,3
c151971_g1,1,0,0,0,2,2,1,0,0,3,1,1,1,0,0,1,2,1,1,0,0,5,1,4
c152036_g1,0,0,0,5,2,2,0,0,0,1,6,2,0,0,0,0,0,1,0,0,0,1,1,0
c152106_g1,2,8,5,1,6,7,2,8,5,2,3,5,2,8,5,8,2,5,2,8,5,13,10,3
c152176_g1,1,0,0,9,8,5,1,0,0,3,9,13,1,0,0,7,7,10,1,0,0,12,6,1
c15224_g1,0,0,1,3,1,3,0,0,1,1,2,2,0,0,1,0,0,1,0,0,1,0,1,0
c152299_g1,4,8,9,12,8,7,4,8,9,7,7,2,4,8,9,8,8,3,4,8,9,6,4,2
c152350_g1,0,0,0,8,3,10,0,0,0,16,35,20,0,0,0,9,10,14,0,0,0,33,27,1
c152403_g1,0,0,0,9,3,8,0,0,0,14,25,29,0,0,0,4,9,5,0,0,0,16,5,2
